light,ax,ay,az,gx,gy,gz,label
4097,-0.2712,-0.0146,0.9664,0.1221,-0.1221,-0.7935,brightlight
4097,-0.2706,-0.0074,0.9744,-0.3052,0.1221,0,brightlight
4097,-0.2717,-0.017,0.9642,-0.3662,0,0.5493,brightlight
4097,-0.2698,-0.0123,0.9678,-0.2441,0.6104,0.1831,brightlight
4097,-0.2694,-0.0193,0.9686,-0.5493,-0.5493,-0.8545,brightlight
4097,-0.2732,-0.0095,0.97,-0.3662,0.4883,0.2441,brightlight
4097,-0.2655,-0.0125,0.9652,0.1221,0.1221,0.5493,brightlight
4097,-0.2734,-0.0121,0.968,-1.0376,0.6714,-1.5869,brightlight
4097,-0.2712,-0.0175,0.9675,-0.1221,-0.1831,-0.5493,brightlight
4097,-0.2693,-0.0128,0.97,-0.2441,0.4883,-0.1831,brightlight
4097,-0.2701,-0.0183,0.9615,-0.8545,0.6104,-2.9297,brightlight
4097,-0.2533,-0.0038,0.9814,0.1221,2.1973,-2.1362,brightlight
4097,-0.2549,-0.0164,0.9697,-0.4272,-0.4272,0.3662,brightlight
4097,-0.2556,-0.0046,0.9707,-0.1221,0.3052,-0.3662,brightlight
4097,-0.2544,-0.0126,0.9795,-0.8545,-0.9155,2.4414,brightlight
4097,-0.2588,-0.0214,0.9735,-0.3052,-1.0986,1.0986,brightlight
4097,-0.2621,-0.0088,0.9692,0.4272,0.7324,-3.9062,brightlight
4097,-0.2584,-0.0118,0.9769,-0.1831,-0.6104,-0.5493,brightlight
4097,-0.2605,-0.0184,0.9684,0.5493,-1.9531,3.0518,brightlight
4097,-0.2643,-0.0134,0.968,-0.8545,0.3052,-1.4038,brightlight
4097,-0.2667,-0.0128,0.9709,-0.1831,0.4883,-0.6104,brightlight
4097,-0.2604,-0.0001,0.9731,0.1221,-0.5493,-1.2817,brightlight
4097,-0.2593,-0.0175,0.9722,-0.6104,-0.061,1.709,brightlight
4097,-0.2588,-0.0109,0.9724,-0.3052,0.2441,-0.1221,brightlight
4097,-0.2584,-0.0071,0.9712,-0.2441,0.1831,-0.2441,brightlight
4097,-0.2588,-0.0088,0.9717,-0.1831,-0.061,-0.4272,brightlight
4097,-0.2581,-0.0079,0.9749,-0.2441,-0.1831,-0.4883,brightlight
4097,-0.2548,-0.0123,0.9718,-0.3662,-0.061,-0.1221,brightlight
4097,-0.2573,-0.0085,0.9727,-0.061,-0.061,0.061,brightlight
4097,-0.2568,-0.0031,0.9738,0.3662,0.2441,0.5493,brightlight
4097,-0.2563,-0.0153,0.973,0.4272,0,0.1221,brightlight
4097,-0.2574,-0.0135,0.9718,0.061,0.1221,0.2441,brightlight
4097,-0.2557,-0.0155,0.9742,-0.9155,0.1831,-0.2441,brightlight
4097,-0.2554,-0.0148,0.9709,-0.6714,0.061,-0.4883,brightlight
4097,-0.2568,-0.0146,0.972,-0.2441,0.1831,-0.1831,brightlight
4097,-0.2567,-0.0156,0.9703,0.061,0.1221,-0.061,brightlight
4097,-0.256,-0.0137,0.9745,-0.6104,0.2441,0,brightlight
4097,-0.2576,-0.0172,0.9742,-0.7935,0.3662,-0.3052,brightlight
4097,-0.2571,-0.0107,0.9744,-0.4883,0.061,-0.2441,brightlight
4097,-0.256,-0.011,0.9744,-0.5493,0.061,-0.3052,brightlight
4097,-0.2572,-0.0084,0.9708,-0.4883,0.061,-0.3662,brightlight
4097,-0.2554,-0.011,0.9714,-0.7324,0.1221,-0.8545,brightlight
4097,-0.2495,-0.0095,0.9733,-0.061,0.6104,-0.4883,brightlight
4097,-0.252,-0.0104,0.9764,0.8545,0.061,0.5493,brightlight
4097,-0.2534,-0.0121,0.9747,-0.3052,0.4272,0.061,brightlight
4097,-0.2529,-0.0115,0.9711,-0.1831,0.1831,-0.2441,brightlight
4097,-0.2539,-0.0118,0.9711,-0.2441,-0.3662,-0.1831,brightlight
4097,-0.2523,-0.0138,0.9734,-0.2441,0.1221,0,brightlight
4097,-0.2527,-0.0128,0.9722,-0.2441,0.3052,-0.4272,brightlight
4097,-0.2528,-0.0133,0.973,-0.2441,-0.1221,-0.3662,brightlight
4097,-0.2526,-0.0104,0.9729,-0.2441,0.1831,-0.3662,brightlight
4097,-0.2507,-0.0179,0.9745,-0.2441,0.3662,-0.1221,brightlight
4097,-0.2511,-0.0099,0.9741,-0.2441,-0.1831,-0.3052,brightlight
4097,-0.251,-0.0111,0.9731,-0.3052,0.1831,-0.4883,brightlight
4097,-0.2507,-0.0105,0.9749,-0.3052,0.3052,-0.1221,brightlight
4097,-0.2522,-0.0118,0.9727,-0.2441,0.2441,-0.4883,brightlight
4097,-0.2512,-0.0155,0.9724,-0.061,-0.061,-0.061,brightlight
4097,-0.2523,-0.0154,0.9708,-0.6104,0.4272,-0.3052,brightlight
4097,-0.2505,-0.0135,0.9756,-0.1221,-0.061,0.1831,brightlight
4097,-0.2511,-0.0095,0.9774,-0.5493,0.1221,-0.6714,brightlight
4097,-0.2517,-0.0106,0.9736,-0.5493,0.1221,-0.4883,brightlight
4097,-0.2507,-0.0157,0.9712,-0.7324,0.2441,-0.7324,brightlight
4097,-0.2512,-0.0117,0.9738,-0.1221,0.1221,0.061,brightlight
4097,-0.2521,-0.0052,0.9746,-0.061,0.061,-0.1831,brightlight
4097,-0.2495,-0.0157,0.9744,0.2441,0.3662,-0.061,brightlight
4097,-0.2502,-0.0116,0.9747,-0.3052,0.2441,-0.6104,brightlight
4097,-0.2517,-0.0104,0.9755,-0.3052,0.061,-0.3662,brightlight
4097,-0.2498,-0.0117,0.9756,-0.2441,0,-0.2441,brightlight
4097,-0.2506,-0.0101,0.9741,-0.2441,0,-0.2441,brightlight
4097,-0.2509,-0.0101,0.9719,-0.3052,0.1831,0.2441,brightlight
4097,-0.2502,-0.0132,0.974,-0.1831,0.061,-0.3052,brightlight
4097,-0.2504,-0.0104,0.9719,-0.2441,0.2441,-0.5493,brightlight
4097,-0.2506,-0.0105,0.974,-0.1831,0.1831,-0.061,brightlight
4097,-0.2513,-0.0114,0.972,0.061,0.4883,-1.3428,brightlight
4097,-0.2491,-0.0139,0.9729,-0.3052,0.1831,0.1221,brightlight
4097,-0.2499,-0.0132,0.974,-0.3052,0.061,-0.3052,brightlight
4097,-0.2498,-0.0148,0.974,-0.3052,0.061,-0.061,brightlight
4097,-0.25,-0.0101,0.9729,-0.2441,0.1831,-0.061,brightlight
4097,-0.2504,-0.0082,0.9745,-0.2441,0.3052,-0.1831,brightlight
4097,-0.2482,-0.0135,0.9749,-0.2441,0.1831,-0.7324,brightlight
4097,-0.2511,-0.0098,0.9733,-0.2441,-0.061,-0.3052,brightlight
4097,-0.2487,-0.015,0.975,-0.2441,0.4272,-0.4883,brightlight
4097,-0.2479,-0.015,0.9755,-0.2441,0.5493,-0.3052,brightlight
4097,-0.2462,-0.012,0.9757,-0.3052,0.061,-0.1221,brightlight
