light,ax,ay,az,gx,gy,gz,label
0,-0.8232,0.1019,0.54,-0.3052,0.1221,-0.2441,lowlight
0,-0.8241,0.1021,0.5402,-0.1831,0.1831,-0.1831,lowlight
0,-0.8232,0.0995,0.5413,-0.1221,0,-0.2441,lowlight
0,-0.8236,0.1011,0.5415,-0.3052,0.2441,-0.3052,lowlight
0,-0.8235,0.1021,0.5419,-0.3662,0.2441,-0.3662,lowlight
0,-0.8219,0.1039,0.5431,-0.5493,0.6104,-0.7324,lowlight
0,-0.8236,0.1019,0.541,-0.1831,0,-0.061,lowlight
0,-0.822,0.103,0.5417,-0.1221,0.061,-0.1221,lowlight
0,-0.8232,0.0995,0.5396,-0.6104,0.7935,-0.7324,lowlight
0,-0.8202,0.1094,0.5454,-0.2441,-0.1221,-0.3052,lowlight
0,-0.8196,0.1073,0.5454,-0.1221,-0.1221,0,lowlight
0,-0.8207,0.1071,0.5441,-0.4272,0.3052,-0.3662,lowlight
0,-0.8195,0.1047,0.5449,0,0.1221,0,lowlight
0,-0.8212,0.1067,0.5443,-0.1221,0.061,-0.061,lowlight
0,-0.821,0.105,0.5452,-0.3662,0.3662,-0.3052,lowlight
0,-0.8199,0.1058,0.5447,-0.1831,0,0,lowlight
0,-0.8219,0.1056,0.5444,-0.2441,0.061,-0.1221,lowlight
0,-0.8219,0.1041,0.5442,-0.2441,0.1221,-0.1221,lowlight
0,-0.8215,0.1051,0.545,-0.3052,0.3052,-0.3662,lowlight
0,-0.8221,0.1042,0.5433,-0.1221,-0.061,0,lowlight
0,-0.8219,0.105,0.5441,-0.3052,0.1831,-0.3052,lowlight
0,-0.8201,0.1061,0.5436,-0.3052,0.1831,-0.3052,lowlight
0,-0.8212,0.104,0.5431,-0.2441,0.1221,-0.1831,lowlight
0,-0.8206,0.104,0.5435,-0.3052,0.2441,-0.1831,lowlight
0,-0.8207,0.1045,0.542,-0.2441,0.1831,-0.2441,lowlight
0,-0.8213,0.1045,0.5431,-0.1831,0.1221,-0.1221,lowlight
0,-0.8225,0.1063,0.5437,-0.2441,0.1221,-0.1831,lowlight
0,-0.8215,0.105,0.5425,-0.3052,0.1221,-0.3662,lowlight
0,-0.8209,0.1044,0.5438,-0.3052,0.1221,-0.1221,lowlight
0,-0.8228,0.1035,0.5432,-0.3662,0.1831,-0.2441,lowlight
0,-0.8219,0.1044,0.5432,-0.3052,0.2441,-0.3662,lowlight
0,-0.8203,0.1039,0.5437,-0.1221,0,-0.1831,lowlight
0,-0.8218,0.104,0.5449,-0.3662,0.4272,-0.3052,lowlight
0,-0.8214,0.1036,0.5444,-0.3052,0.1831,-0.1831,lowlight
0,-0.8218,0.1045,0.5431,-0.2441,0.1221,-0.2441,lowlight
0,-0.8203,0.1047,0.5441,-0.3052,0.2441,-0.3662,lowlight
0,-0.8207,0.1053,0.5444,-0.2441,0.1831,-0.2441,lowlight
0,-0.8219,0.1074,0.5439,-0.3052,0.3052,-0.4272,lowlight
0,-0.828,0.0958,0.538,-0.6104,0.6104,-0.4272,lowlight
0,-0.8162,0.1106,0.5491,0.2441,-0.2441,0.4272,lowlight
0,-0.8226,0.104,0.5417,-0.9766,2.0142,-1.5869,lowlight
0,-0.8268,0.0978,0.537,0,-0.8545,0.3052,lowlight
0,-0.8209,0.1091,0.5453,0,0,-0.061,lowlight
0,-0.8217,0.1045,0.5439,-0.2441,0.1221,-0.2441,lowlight
0,-0.8226,0.1022,0.5417,-0.7935,1.4038,-1.3428,lowlight
0,-0.8175,0.1117,0.5494,0.061,-0.6104,0.2441,lowlight
0,-0.8193,0.1062,0.546,-1.0376,1.6479,-1.4648,lowlight
0,-0.8145,0.1207,0.5525,-0.1221,-0.4272,0.1831,lowlight
0,-0.8176,0.113,0.5468,-0.1221,-0.2441,0.1831,lowlight
