light,ax,ay,az,gx,gy,gz,label
99,0.2753,-0.0143,0.9707,-0.2441,-0.4272,0.1221,shaky
98,0.2587,0.0007,0.9757,-0.5493,0.9766,0.3052,shaky
99,0.2714,-0.0328,0.9939,-0.061,1.0376,0.2441,shaky
98,0.267,-0.0192,0.9692,0.4883,3.6621,0.9766,shaky
97,0.318,-0.0068,0.948,-1.709,14.9536,14.7705,shaky
96,0.2692,0.0973,0.975,2.2583,-17.1509,-0.1221,shaky
99,0.1913,0.0079,1.007,9.4604,10.9253,-42.4194,shaky
105,0.2272,-0.1168,0.9753,8.7891,-16.2964,-21.6675,shaky
102,0.2698,-0.0667,0.9495,-9.5825,7.8735,43.7012,shaky
97,0.2404,0.0548,0.9689,-14.3433,-11.0474,14.5264,shaky
101,0.2156,-0.0583,1.0035,2.9907,8.667,-9.8877,shaky
103,0.2765,-0.0453,0.9475,9.7656,-5.249,-6.4697,shaky
100,0.1012,-0.0068,1.0419,-12.8784,-31.1279,-3.9062,shaky
98,0.153,-0.0004,0.9983,-11.3525,-8.0566,19.104,shaky
96,0.1964,0.0332,0.9821,-1.6479,12.2681,12.8174,shaky
96,0.1786,0.005,0.9801,-0.061,3.6011,7.3242,shaky
98,0.1469,0.0754,0.9994,9.2163,-8.728,-39.4287,shaky
101,0.2338,-0.0497,0.943,2.5024,54.1382,1.9531,shaky
97,0.3057,0.0518,0.9318,-1.4648,9.3384,1.8921,shaky
99,0.0294,0.0421,1.1115,18.1885,-29.1748,10.498,shaky
100,0.1919,-0.0065,0.9734,-0.9766,12.5732,0.1221,shaky
101,0.1735,-0.0425,0.9926,-1.2817,2.5024,-2.0752,shaky
99,0.225,-0.0282,0.9379,-2.9907,12.0239,-32.4707,shaky
103,0.1907,-0.0641,0.9952,0.9766,2.8076,2.7466,shaky
102,0.1779,0.0034,0.9857,15.7471,12.146,13.0615,shaky
99,0.1373,0.0229,1.0006,-8.9111,-1.77,-13.6108,shaky
98,0.1458,0.016,0.9817,-12.8174,-14.5264,-39.6729,shaky
98,0.1461,0.0249,1.0049,0.5493,3.9062,10.498,shaky
99,0.1566,0.017,1.0135,5.0049,12.0239,-17.395,shaky
99,0.2402,0.002,0.976,3.6621,14.5264,29.1748,shaky
101,0.2822,0.0125,0.902,29.8462,-47.2412,30.5176,shaky
101,0.1921,-0.0251,0.9674,-3.3569,8.9111,-25.8179,shaky
99,0.1628,-0.0226,0.9865,-6.897,-22.3999,-5.0049,shaky
100,0.0083,0.0072,1.0887,3.6011,-6.0425,9.2163,shaky
101,0.1134,0.0083,1.0046,-6.3477,12.3291,-5.127,shaky
100,0.1709,-0.0251,0.988,-2.0142,-1.0986,-4.5166,shaky
100,0.2437,-0.0092,0.9778,4.3945,-11.6577,8.1177,shaky
99,0.2118,-0.0314,0.9725,1.1597,2.1973,-1.2817,shaky
99,0.1997,-0.0055,0.9819,4.6997,12.3291,5.249,shaky
98,0.1523,0.0005,1.0177,-2.6855,-10.437,5.5542,shaky
97,0.1547,-0.0135,0.9934,-1.0986,0.9766,3.1738,shaky
97,0.1783,0.0511,0.9954,1.8311,0.4272,-10.376,shaky
98,0.2109,-0.0332,0.9928,1.1597,8.1177,-2.8687,shaky
98,0.1985,-0.0017,0.9899,-4.8218,5.0049,4.3335,shaky
96,0.2926,-0.0499,0.9535,-9.2163,15.7471,-1.0986,shaky
96,0.1505,0.0126,1.0294,-1.8921,-27.771,5.188,shaky
97,0.1254,0.0128,0.9872,-4.2114,-20.9961,-3.479,shaky
99,0.1113,-0.0059,1.024,3.418,16.7236,4.3335,shaky
99,0.1281,0.0175,1.0109,3.418,13.6108,7.3853,shaky
94,0.1367,0.1134,0.9521,-24.231,-39.5508,-55.0537,shaky
98,0.174,-0.0114,0.9967,0.061,7.9346,-14.6484,shaky
97,0.222,-0.0476,0.9764,0.9766,9.7656,5.188,shaky
95,0.2552,-0.0336,0.9545,-6.897,2.0142,12.8784,shaky
92,0.2687,0.0403,0.9452,1.4038,9.2773,-1.5259,shaky
94,0.1725,0.0688,1.0247,-0.4883,-7.3242,3.3569,shaky
96,0.2092,0.0438,0.9819,10.5591,0.2441,-19.9585,shaky
101,0.1779,0.0233,0.9519,28.9917,-14.0991,-29.9683,shaky
97,0.1338,-0.0283,1.0111,-15.0757,3.2349,27.4658,shaky
98,0.1407,0.0155,1.0133,0.2441,5.6152,-3.1128,shaky
100,0.1527,0.0304,0.9957,1.9531,26.7334,-30.8838,shaky
100,0.2485,0.0066,0.9401,-0.8545,27.6489,2.0142,shaky
100,0.2476,-0.0194,0.9774,1.5259,-3.9673,-9.1553,shaky
100,0.2524,-0.0253,0.9733,-3.2959,-0.9155,9.7046,shaky
96,0.2546,0.1534,0.9482,-1.2207,17.2119,11.2915,shaky
98,0.2654,0.0015,0.9642,6.2866,-12.207,-8.8501,shaky
100,0.256,-0.0096,0.9487,6.2866,-25.2686,34.729,shaky
101,0.2577,-0.0474,0.9506,-2.0142,-8.8501,-5.9204,shaky
101,0.1674,-0.0322,1.0021,-1.0376,-0.2441,0.2441,shaky
98,0.2362,0.0389,0.9744,-7.2021,19.4702,-12.6953,shaky
96,0.2319,0.069,0.9832,7.2021,-2.0142,2.3804,shaky
96,0.187,0.0059,0.9845,-3.2349,-8.5449,-2.5635,shaky
96,0.1681,0.0729,1.0048,-10.0098,3.1128,5.4932,shaky
96,0.275,-0.0477,0.9131,3.1738,18.1274,-18.7378,shaky
97,0.2216,-0.0867,0.9827,0.3052,-10.2539,19.5923,shaky
